'06/17/2022 11:16:0009 '  'SnackItem{vendingMachineKey='A1', name='Potato Crisps', price=3.05, snackType='Chip'}' 
'06/17/2022 11:16:0009 '  'SnackItem{vendingMachineKey='A2', name='Stackers', price=1.45, snackType='Chip'}' 
'06/17/2022 11:16:0009 '  'SnackItem{vendingMachineKey='A3', name='Grain Waves', price=2.75, snackType='Chip'}' 
'06/17/2022 11:16:0009 '  'SnackItem{vendingMachineKey='A4', name='Cloud Popcorn', price=3.65, snackType='Chip'}' 
'06/17/2022 11:16:0009 '  'SnackItem{vendingMachineKey='B1', name='Moonpie', price=1.80, snackType='Candy'}' 
'06/17/2022 11:16:0009 '  'SnackItem{vendingMachineKey='B2', name='Cowtales', price=1.50, snackType='Candy'}' 
'06/17/2022 11:16:0009 '  'SnackItem{vendingMachineKey='B3', name='Wonka Bar', price=1.50, snackType='Candy'}' 
'06/17/2022 11:16:0009 '  'SnackItem{vendingMachineKey='B4', name='Crunchie', price=1.75, snackType='Candy'}' 
'06/17/2022 11:16:0009 '  'SnackItem{vendingMachineKey='C1', name='Cola', price=1.25, snackType='Drink'}' 
'06/17/2022 11:16:0009 '  'SnackItem{vendingMachineKey='C2', name='Dr. Salt', price=1.50, snackType='Drink'}' 
'06/17/2022 11:16:0009 '  'SnackItem{vendingMachineKey='C3', name='Mountain Melter', price=1.50, snackType='Drink'}' 
'06/17/2022 11:16:0009 '  'SnackItem{vendingMachineKey='C4', name='Heavy', price=1.50, snackType='Drink'}' 
'06/17/2022 11:16:0009 '  'SnackItem{vendingMachineKey='D1', name='U-Chews', price=0.85, snackType='Gum'}' 
'06/17/2022 11:16:0009 '  'SnackItem{vendingMachineKey='D2', name='Little League Chew', price=0.95, snackType='Gum'}' 
'06/17/2022 11:16:0009 '  'SnackItem{vendingMachineKey='D3', name='Chiclets', price=0.75, snackType='Gum'}' 
'06/17/2022 11:16:0009 '  'SnackItem{vendingMachineKey='D4', name='Triplemint', price=0.75, snackType='Gum'}' 
